PROC HitsPMain
ENDPROC
PROC Tagaosa_moot
411,MoveJ,-134.83,-137.72,608.86
412,MoveJ,-208.32,-261.20,1225.12
416,MoveJ,-855.75,322.95,1204.81
419,MoveJ,-425.20,318.51,895.69
454,MoveJ,-355.21,468.05,1155.56
455,MoveJ,-759.38,-174.56,1075.02
456,MoveL,1694.64,-193.02,843.38
457,MoveL,473.47,-251.37,226.97
458,MoveL,1283.14,-260.33,1137.99
461,MoveJ,1502.45,-3.30,1218.96
464,MoveJ,-1100.71,-169.96,456.07
465,MoveJ,-613.68,376.86,877.83
466,MoveL,-360.55,374.52,1116.87
467,MoveJ,-194.39,435.86,1029.38
468,ArcLStart,-192.77,448.65,1033.37
469,ArcLEnd,-1.47,545.04,936.64
470,MoveL,-191.94,443.33,1036.29
474,MoveL,-293.48,409.97,1111.36
475,MoveL,-277.68,379.24,1094.19
476,ArcLStart,-190.70,325.62,1036.49
477,ArcLEnd,-6.93,227.53,939.86
478,MoveL,-190.89,327.36,1038.01
482,MoveL,-329.63,331.87,1084.50
483,MoveJ,-1056.36,338.19,389.25
489,MoveJ,589.10,-78.49,186.40
492,MoveJ,521.16,6.34,242.70
493,ArcLStart,531.75,21.90,248.20
494,ArcL,586.21,21.39,221.29
495,ArcL,670.16,20.85,177.84
496,ArcL,681.94,23.80,178.61
497,ArcL,874.59,92.93,210.40
498,ArcLEnd,907.55,103.16,215.25
499,MoveL,883.51,86.61,202.00
500,MoveL,693.06,-294.62,2.49
510,MoveJ,814.43,-76.78,158.69
513,MoveJ,327.90,-312.34,469.63
516,MoveJ,115.01,69.66,469.54
517,ArcLStart,126.35,122.31,473.42
518,ArcLEnd,179.19,120.90,578.54
519,MoveJ,185.70,106.71,581.53
524,MoveJ,179.45,95.54,586.82
525,ArcLStart,185.87,119.36,586.63
526,ArcL,266.49,119.25,605.06
529,ArcLEnd,402.30,117.37,519.22
530,MoveJ,406.31,82.54,507.83
532,MoveJ,403.31,78.13,519.75
535,ArcLStart,402.74,118.02,522.63
536,ArcL,389.04,117.54,429.74
538,ArcLEnd,298.10,120.49,325.67
539,MoveJ,298.27,93.47,306.85
541,MoveJ,325.52,27.55,280.17
544,MoveJ,106.81,29.10,287.44
545,ArcLStart,127.41,122.16,470.56
546,ArcL,130.91,122.75,460.69
547,ArcL,158.97,122.09,394.00
550,MoveL,310.60,108.57,321.58
551,MoveJ,504.76,-393.09,328.55
555,MoveJ,441.83,-355.57,1042.45
558,MoveJ,698.20,395.77,1445.54
561,MoveJ,855.26,-115.22,671.73
562,MoveJ,877.06,-159.93,372.27
563,MoveJ,752.26,-104.08,312.83
564,ArcLStart,733.77,-45.04,306.81
565,ArcL,707.28,-16.10,249.57
566,ArcLEnd,676.43,22.44,178.32
567,MoveJ,701.55,-45.80,189.74
568,MoveJ,753.44,-159.00,259.60
571,MoveJ,266.89,-264.39,259.40
574,MoveJ,71.20,-158.72,673.90
575,MoveJ,-117.89,-56.84,740.00
576,ArcLStart,-108.10,-39.70,737.36
577,ArcLEnd,-156.85,28.04,606.37
578,MoveJ,-157.73,-42.47,596.32
579,MoveJ,252.46,-313.80,863.55
582,MoveJ,942.27,566.80,1538.22
588,MoveJ,2148.86,-940.42,849.25
ENDPROC
PROC Pori_kylg_p
601,MoveJ,1541.02,938.19,1066.50
602,MoveJ,1540.63,875.38,-1010.61
606,MoveJ,633.31,1107.30,63.48
607,ArcLStart,544.24,736.02,253.25
608,ArcL,558.73,749.65,280.71
609,ArcL,583.32,773.75,325.51
610,ArcL,605.24,799.86,379.74
611,ArcL,606.79,799.96,387.34
615,ArcL,341.15,796.85,786.74
619,ArcL,35.84,798.15,669.23
620,ArcL,10.36,778.49,632.67
621,ArcL,-16.26,751.40,582.27
622,ArcLEnd,-32.91,738.45,554.11
623,MoveJ,-50.24,836.93,527.75
626,MoveJ,74.12,871.33,568.46
628,ArcLStart,-17.65,633.88,549.19
629,ArcL,13.30,631.47,613.02
632,ArcL,427.93,628.13,740.39
633,ArcL,442.98,627.95,732.49
636,ArcL,533.81,628.24,271.88
637,ArcLEnd,524.67,627.81,258.48
638,MoveJ,469.15,725.60,263.56
642,MoveL,507.80,745.92,235.42
643,ArcLStart,537.95,720.68,252.62
644,ArcLEnd,534.96,627.93,251.68
645,MoveJ,526.10,625.34,249.36
648,MoveJ,241.21,908.76,338.25
649,MoveJ,-31.25,763.31,511.02
650,ArcLStart,-31.04,725.95,551.01
651,ArcLEnd,-30.86,631.81,549.16
652,MoveJ,-23.73,671.59,474.94
653,MoveJ,-29.22,750.19,464.85
656,MoveJ,-29.27,750.18,464.90
660,MoveJ,-39.14,776.36,519.59
661,ArcLStart,-34.22,730.99,552.20
663,ArcLEnd,-152.08,731.41,615.51
664,ArcLStart,-158.32,728.25,619.52
666,ArcL,-237.89,624.45,661.46
667,ArcLEnd,-365.27,463.30,727.74
668,MoveL,-388.88,488.48,705.61
669,MoveJ,-273.37,770.80,435.84
672,MoveJ,510.94,755.25,223.87
673,ArcLStart,537.69,725.92,250.40
674,ArcLEnd,680.88,723.57,177.03
675,MoveJ,450.60,1041.36,-54.20
687,MoveJ,789.78,993.10,71.99
688,MoveJ,789.45,992.32,72.29
689,ArcLStart,680.44,723.34,175.33
690,ArcL,860.73,656.11,203.11
691,ArcLEnd,908.17,637.93,210.48
692,MoveL,879.25,736.67,271.25
693,MoveL,719.73,1240.99,13.17
697,MoveJ,726.48,1059.02,79.11
701,MoveJ,133.33,770.01,451.66
702,ArcLStart,136.56,628.55,473.59
703,ArcLEnd,195.35,627.62,587.70
704,MoveL,195.08,656.98,583.06
708,MoveL,195.11,657.00,583.08
709,ArcLStart,196.55,629.59,587.00
711,ArcL,273.46,628.82,606.06
714,MoveL,408.36,646.10,524.92
717,ArcLStart,412.03,629.68,525.23
718,ArcL,398.47,628.23,440.37
720,ArcLEnd,309.72,630.17,332.22
721,MoveJ,330.02,672.74,322.82
724,MoveJ,115.44,644.97,326.25
725,MoveJ,118.38,644.59,474.62
726,ArcLStart,138.02,630.84,472.29
728,ArcL,170.23,629.83,394.82
731,MoveJ,309.94,667.27,318.21
732,MoveJ,397.45,991.93,334.45
736,MoveJ,162.45,903.27,491.40
739,MoveJ,-43.20,871.48,532.05
740,MoveJ,-135.20,821.13,727.31
741,ArcLStart,-96.63,793.99,748.58
742,ArcLEnd,-151.68,724.68,614.33
743,MoveJ,-179.72,799.09,528.35
744,MoveJ,-187.28,803.67,658.32
745,MoveJ,-12.20,994.02,708.32
748,MoveJ,541.36,1092.26,708.31
751,MoveJ,750.01,848.15,314.17
752,MoveJ,745.14,802.25,303.86
753,ArcLStart,741.34,784.39,309.70
754,ArcLEnd,682.53,720.39,184.77
755,MoveJ,705.58,800.34,225.50
756,MoveJ,866.60,985.78,358.46
761,MoveJ,1425.43,552.97,555.84
762,MoveJ,882.55,-78.83,1004.55
765,MoveJ,1148.06,-489.58,1004.56
ENDPROC
PROC Tag_paak
778,MoveJ,1813.14,-341.02,-340.35
781,MoveJ,1277.77,406.78,343.82
782,MoveJ,1106.16,664.75,466.95
